,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.4,28,1.15,23,3,1,0,1,3,0.12,0,1,1,0,1,0,Matches
137,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,11.2,51,4.54,33,12,1,2,3,11,0.98,5,3,0,0,3,0,Matches
138,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,3,3.97,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,28.1,10,0.36,6,0,1,3,0,3,0.11,1,0,0,2,0,0,Matches
140,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.1,27,1.03,24,0,0,3,0,5,0.19,5,0,0,0,0,0,Matches
141,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,31.9,91,2.85,69,0,15,4,3,18,0.56,13,0,4,1,0,0,Matches
142,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,27.0,69,2.56,47,16,4,2,0,5,0.19,4,0,1,0,0,0,Matches
143,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,9.5,42,4.42,33,2,3,1,3,8,0.84,8,0,0,0,0,0,Matches
144,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,22.4,47,2.10,38,4,1,2,2,9,0.40,9,0,0,0,0,0,Matches
145,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,37.0,5,0.14,2,3,0,0,0,1,0.03,1,0,0,0,0,0,Matches
146,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.0,2,2.00,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,1,1.53,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,1,1.32,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,7,0.65,6,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
150,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,66,2.87,44,17,2,1,2,6,0.26,3,2,0,1,0,0,Matches
151,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,83,3.45,64,8,4,2,5,1,0.04,1,0,0,0,0,0,Matches
152,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,23.9,45,1.89,41,3,0,0,1,5,0.21,5,0,0,0,0,0,Matches
153,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
