,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
267,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,31,1987,34.9,118,3.38,104,0,11,2,1,17,0.49,15,0,2,0,0,0,Matches
268,Yassine Benzia\Yassine-Benzia,dz ALG,MF,Dijon,fr Ligue 1,24,1994,1.9,5,2.60,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
269,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,24,1994,26.7,104,4.03,65,12,6,11,10,11,0.43,7,0,0,2,2,0,Matches
270,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,es La Liga,29,1990,31.7,55,1.74,44,3,3,4,1,3,0.09,2,0,0,1,0,0,Matches
271,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Torino,it Serie A,24,1995,19.3,70,3.81,36,11,14,5,4,8,0.44,4,1,3,0,0,0,Matches
272,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,27,1992,26.7,26,1.01,21,3,0,0,2,2,0.08,2,0,0,0,0,0,Matches
273,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,eng Premier League,28,1990,6.9,22,3.19,17,2,1,1,1,2,0.29,2,0,0,0,0,0,Matches
274,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,es La Liga,33,1986,0.8,1,1.25,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
275,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,eng Premier League,21,1998,10.5,7,0.67,6,0,1,0,0,2,0.19,1,0,1,0,0,0,Matches
276,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,21,1997,7.8,26,3.32,22,0,2,0,2,1,0.13,1,0,0,0,0,0,Matches
277,Robert Berić\Robert-Beric,si SVN,FWMF,Saint-Étienne,fr Ligue 1,28,1991,4.6,3,0.65,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
278,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26.0,4,0.15,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
279,Valon Berisha\Valon-Berisha,xk KVX,MFFW,Düsseldorf,de Bundesliga,26,1993,10.5,19,1.82,12,4,0,0,3,1,0.10,1,0,0,0,0,0,Matches
280,Valon Berisha\Valon-Berisha,xk KVX,MFFW,Lazio,it Serie A,26,1993,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
281,Sergio Bermejo\Sergio-Bermejo,es ESP,FW,Celta Vigo,es La Liga,21,1997,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
282,Bernard\Bernard,br BRA,MFFW,Everton,eng Premier League,26,1992,14.2,48,3.38,40,0,5,2,1,5,0.35,3,0,2,0,0,0,Matches
